,name,min_salary,max_salary,currency,link,site_link
0,Backend-разработчик,240000.0,,руб.,https://nn.hh.ru/vacancy/80769154?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
1,Python Developer,,,,https://nn.hh.ru/vacancy/81409665?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
2,Senior Backend Engineer (Python),,4000.0,USD,https://nn.hh.ru/vacancy/81797083?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
3,Middle Python-разработчик,120000.0,180000.0,руб.,https://nn.hh.ru/vacancy/81586890?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
4,Python Backend-разработчик (Middle),,,,https://nn.hh.ru/vacancy/81771239?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
5,Python разработчик (Экосистемный контактный центр Bridge),,,,https://nn.hh.ru/vacancy/81612380?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
6,Python developer,,,,https://nn.hh.ru/vacancy/80235015?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
7,Python разработчик,,,,https://nn.hh.ru/vacancy/81427014?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
8,Python разработчик (Middle),,,,https://nn.hh.ru/vacancy/77731487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
9,Ведущий программист Python,225000.0,,руб.,https://nn.hh.ru/vacancy/80518721?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+Python,https://nn.hh.ru/vacancies/programmist_python
